text,category,subcategory,role_applicability,contract_type,jurisdiction,clause_type,identifier,title,source,version,is_reference,quality,tags,recommended_language,notes
"배상책임의 총한도는 최근 12개월 지급수수료를 초과하지 않으며, 간접·특별·결과적 손해는 제외한다.",LimitationOfLiability,,both,NDA,US,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,
"개인정보침해, 고의·중과실, 제3자 지식재산권 침해에 대해서는 총한도 적용을 배제한다.",LimitationOfLiability,,both,NDA,US,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,variant
배상책임에는 어떠한 제한도 없으며 모든 유형의 손해를 전부 배상한다.,LimitationOfLiability,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad","총한도는 최근 6개월 지급수수료로 하고, 서비스 크레딧을 우선 구제로 제공한다.",
간접손해 제외 없이 모든 손해를 제한 없이 포함한다.,LimitationOfLiability,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad","총한도는 최근 6개월 지급수수료로 하고, 서비스 크레딧을 우선 구제로 제공한다.",variant
"총한도는 최근 6개월 지급수수료로 하고, 서비스 크레딧을 우선 구제로 제공한다.",LimitationOfLiability,,both,NDA,US,article,,,Derived from uploaded NDA refs,2025.08,True,4,fallback,,
제3자 지식재산권 침해 주장에 대해 제공자는 방어·합의 통제권을 갖고 수령자는 합리적으로 협조한다.,Indemnity,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,
면책은 수령인의 지침 위반 또는 허용되지 않은 사용에는 적용되지 않는다.,Indemnity,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,variant
수령인은 본 계약과 관련된 모든 청구로부터 제공자를 무조건 면책한다.,Indemnity,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad","면책 범위는 최종 확정판결 또는 서면 합의금으로 한정하고, 간접손해는 제외한다.",
면책 범위에 당사자의 과실이 포함되더라도 제한 없이 면책한다.,Indemnity,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad","면책 범위는 최종 확정판결 또는 서면 합의금으로 한정하고, 간접손해는 제외한다.",variant
"면책 범위는 최종 확정판결 또는 서면 합의금으로 한정하고, 간접손해는 제외한다.",Indemnity,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,4,fallback,,
"본 계약의 준거법은 대한민국 법으로 하고, 분쟁은 서울중앙지방법원을 전속 관할로 한다.",GoverningLaw_Jurisdiction,,both,NDA,US,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,
"분쟁은 대한상사중재원 규칙에 따른 중재로 해결하며, 중재지는 서울, 절차언어는 한국어로 한다.",GoverningLaw_Jurisdiction,,both,NDA,US,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,variant
분쟁은 각 당사자의 소재지 법원에서 해결한다.,GoverningLaw_Jurisdiction,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad","준거법은 한국법으로 하고, 관할은 상호 합의된 중재기관으로 정한다.",
준거법과 관할을 명시하지 않는다.,GoverningLaw_Jurisdiction,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad","준거법은 한국법으로 하고, 관할은 상호 합의된 중재기관으로 정한다.",variant
"준거법은 한국법으로 하고, 관할은 상호 합의된 중재기관으로 정한다.",GoverningLaw_Jurisdiction,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,4,fallback,,
"통지는 수신 확인 가능한 이메일 또는 등기우편으로 하고, 이메일 송신 후 2영업일 경과 시 수령된 것으로 본다.",Notice,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,
통지처 변경은 서면으로 업데이트해야 한다.,Notice,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,variant
통지는 팩스만 가능하며 당일 도달로 간주한다.,Notice,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad","포털 알림과 이메일을 병행하며, 시스템 장애 시 등기우편을 사용한다.",
통지 수단을 특정하지 않는다.,Notice,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad","포털 알림과 이메일을 병행하며, 시스템 장애 시 등기우편을 사용한다.",variant
"포털 알림과 이메일을 병행하며, 시스템 장애 시 등기우편을 사용한다.",Notice,,both,NDA,US,article,,,Derived from uploaded NDA refs,2025.08,True,4,fallback,,
권리·의무의 양도는 사전 서면동의 없이는 불가하다.,Assignment,,both,NDA,US,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,
지배권 변경 또는 계열사 간 이전은 예외로 허용하되 양수인은 동일한 의무를 승계한다.,Assignment,,both,NDA,US,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,variant
상대방 동의 없이 자유롭게 양도할 수 있다.,Assignment,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad","양도는 동의를 요하되, 동의는 합리적 사유 없이 지연·거절하지 않는다.",
어떠한 경우에도 양도할 수 없다.,Assignment,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad","양도는 동의를 요하되, 동의는 합리적 사유 없이 지연·거절하지 않는다.",variant
"양도는 동의를 요하되, 동의는 합리적 사유 없이 지연·거절하지 않는다.",Assignment,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,4,fallback,,
"천재지변, 정부 규제, 대규모 장애 등 불가항력 시 의무 이행이 면책되며 지체 없이 통지한다.",ForceMajeure,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,
불가항력 종료 후 합리적 기간 내 이행을 재개한다.,ForceMajeure,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,variant
불가항력의 범위를 제한 없이 광범위하게 정의한다.,ForceMajeure,,recipient,NDA,US,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad",장기 지속 시 어느 일방은 서면 통지로 계약 해지할 수 있다.,
불가항력 사유라도 통지 의무가 없다.,ForceMajeure,,recipient,NDA,US,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad",장기 지속 시 어느 일방은 서면 통지로 계약 해지할 수 있다.,variant
장기 지속 시 어느 일방은 서면 통지로 계약 해지할 수 있다.,ForceMajeure,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,4,fallback,,
"비밀정보에는 서면·전자·구두 정보가 포함되며, 구두 제공 시 10~15일 내 서면 요약 통지한다.",Definition_ConfidentialInfo,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,
"공개정보, 독자개발, 적법한 제3자 제공 정보 등은 예외로 한다.",Definition_ConfidentialInfo,,both,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,5,"standard,good",,variant
비밀 표시된 서면만 비밀정보로 인정한다.,Definition_ConfidentialInfo,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad",구두 정보는 즉시 비밀로 취급하되 15일 내 요약본을 제공한다.,
구두 또는 관찰로 제공된 정보는 비밀이 아니다.,Definition_ConfidentialInfo,,recipient,NDA,KR,article,,,Derived from uploaded NDA refs,2025.08,True,2,"antipattern,bad",구두 정보는 즉시 비밀로 취급하되 15일 내 요약본을 제공한다.,variant
