contract_id,clause_id,original_identifier,article_number,paragraph_number,content,clause_type,contract_type,jurisdiction,language,issuer,version,source_uri,is_reference,text
NDA_DEMO_KR_2025_V1,c1,제1조 제1항,1,1,정의. 본 계약에서 '목적'은 양 당사자 간 사업타당성 검토 및 기술 적합성 평가를 의미한다.,definitions,NDA,KR,ko,LexGuard-Demo,2025-10-08,internal:demo,False,정의. 본 계약에서 '목적'은 양 당사자 간 사업타당성 검토 및 기술 적합성 평가를 의미한다.
NDA_DEMO_KR_2025_V1,c2,제2조 제1항,2,1,비밀정보의 범위. 표시에 관계없이 그 성질상 비밀로 볼 수 있는 정보까지 포함한다. 다만 구두 정보는 10영업일 내 서면 확인이 없는 경우 제외한다.,confidential_information_definition,NDA,KR,ko,LexGuard-Demo,2025-10-08,internal:demo,False,비밀정보의 범위. 표시에 관계없이 그 성질상 비밀로 볼 수 있는 정보까지 포함한다. 다만 구두 정보는 10영업일 내 서면 확인이 없는 경우 제외한다.
NDA_DEMO_KR_2025_V1,c3,제3조 제1항,3,1,"목적 외 사용 금지 및 접근 통제. 수신자는 필요한 인원에 한해 접근을 제한하고, 하도급사에 대한 제공은 공개자의 사전 서면 동의가 있는 경우에 한한다.",non_use,NDA,KR,ko,LexGuard-Demo,2025-10-08,internal:demo,False,"목적 외 사용 금지 및 접근 통제. 수신자는 필요한 인원에 한해 접근을 제한하고, 하도급사에 대한 제공은 공개자의 사전 서면 동의가 있는 경우에 한한다."
NDA_DEMO_KR_2025_V1,c4,제4조 제1항,4,1,"예외. (1) 공개 당시 공지 정보, (2) 귀책 없이 공지에 이른 정보, (3) 제3자로부터 적법 취득 정보, (4) 독자 개발 정보는 비밀정보에서 제외한다.",exclusions,NDA,KR,ko,LexGuard-Demo,2025-10-08,internal:demo,False,"예외. (1) 공개 당시 공지 정보, (2) 귀책 없이 공지에 이른 정보, (3) 제3자로부터 적법 취득 정보, (4) 독자 개발 정보는 비밀정보에서 제외한다."
NDA_DEMO_KR_2025_V1,c5,제5조 제1항,5,1,반환·파기. 공개자의 요청 또는 목적 달성 시 수신자는 지체 없이 모든 매체의 비밀정보를 영구히 파기하거나 반환하고 파기사실을 서면 확인한다.,return_or_destruction,NDA,KR,ko,LexGuard-Demo,2025-10-08,internal:demo,False,반환·파기. 공개자의 요청 또는 목적 달성 시 수신자는 지체 없이 모든 매체의 비밀정보를 영구히 파기하거나 반환하고 파기사실을 서면 확인한다.
NDA_DEMO_KR_2025_V1,c6,제6조 제1항,6,1,"준거법·분쟁. 본 계약은 대한민국 법률에 따르며, 분쟁은 서울중앙지방법원을 전속적 합의 관할로 한다.",governing_law,NDA,KR,ko,LexGuard-Demo,2025-10-08,internal:demo,False,"준거법·분쟁. 본 계약은 대한민국 법률에 따르며, 분쟁은 서울중앙지방법원을 전속적 합의 관할로 한다."
NDA_DEMO_KR_2025_V1,c7,제7조 제1항,7,1,손해배상 및 금지명령. 위반 시 손해배상 외에 가처분 등 형평법상 구제를 청구할 수 있다. 일체의 라이선스는 부여되지 않는다.,injunctive_relief,NDA,KR,ko,LexGuard-Demo,2025-10-08,internal:demo,False,손해배상 및 금지명령. 위반 시 손해배상 외에 가처분 등 형평법상 구제를 청구할 수 있다. 일체의 라이선스는 부여되지 않는다.
NDA_DEMO_KR_2025_V1,a1,부록-1,8,1,직원·자문사 접근은 최소권한 원칙에 따른다. MFA와 암호화 저장을 기본으로 한다.,data_protection,NDA,KR,ko,LexGuard-Demo,2025-10-08,internal:demo,False,직원·자문사 접근은 최소권한 원칙에 따른다. MFA와 암호화 저장을 기본으로 한다.
NDA_DEMO_KR_2025_V1,a2,부록-2,9,1,"수출통제. 통제 대상 기술의 국외 이전은 금지되며, 필요한 경우 관련 허가를 사전에 취득한다.",export_control,NDA,KR,ko,LexGuard-Demo,2025-10-08,internal:demo,False,"수출통제. 통제 대상 기술의 국외 이전은 금지되며, 필요한 경우 관련 허가를 사전에 취득한다."
NDA_DEMO_KR_2025_V1,a3,부록-3,10,1,"통지. 본 계약에 따른 통지는 서면(전자우편 포함)으로 하며, 영업일 기준 수신 시 효력이 발생한다.",notices,NDA,KR,ko,LexGuard-Demo,2025-10-08,internal:demo,False,"통지. 본 계약에 따른 통지는 서면(전자우편 포함)으로 하며, 영업일 기준 수신 시 효력이 발생한다."
NDA_DEMO_KR_2025_V1,a4,부록-4,11,1,"리저듀얼. 의도적 암기·문자적 재현·역설계는 금지되며, 비의도적 아이디어 수준만 허용된다.",residuals,NDA,KR,ko,LexGuard-Demo,2025-10-08,internal:demo,False,"리저듀얼. 의도적 암기·문자적 재현·역설계는 금지되며, 비의도적 아이디어 수준만 허용된다."
