text,category,subcategory,role_applicability,contract_type,jurisdiction,clause_type,identifier,title,source,version,is_reference,quality,tags,recommended_language,notes
구두로 제공된 정보는 제공일로부터 10영업일 내 서면으로 확인된 경우 비밀정보로 간주한다.,Definitions_Scope,,both,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,5,standard,ko,
비밀정보는 비밀표시가 된 서면 자료에 한정한다.,Definitions_Scope,,both,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,2,"risky,underinclusive",ko,
"제공 시 공지, 무과실 공지, 적법 취득, 독자개발(입증책임 수신자)은 예외로 한다.",Exclusions,,both,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,5,standard,ko,
독자개발 정보는 서면 증빙이 없는 한 예외로 인정되지 않는다.,Exclusions,,both,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,2,"risky,overbroad",ko,
수신자는 목적 수행에 필요한 범위 내에서만 비밀정보를 사용한다.,Use_Purpose,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,5,standard,ko,
수신자는 내부 연구개발 전반에 비밀정보를 자유 활용할 수 있다.,Use_Purpose,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,1,"risky,overbroad",ko,
수신자는 동종 정보 이상 수준의 보호조치(접근통제/암호화/로그 포함)를 유지한다.,Care_Security,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,5,"standard,good",ko,
수신자는 합리적 주의의무만 부담하며 기술적 조치는 선택사항이다.,Care_Security,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,2,"risky,ambiguous",ko,
필요 최소 인원·계열사·법률/회계 자문사에 한해 동등 이상의 의무를 서면 부과 후 공유한다.,PermittedRecipients,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,5,standard,ko,
협력사와의 업무 편의를 위해 제한 없이 재공유할 수 있다.,PermittedRecipients,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,1,"risky,overbroad",ko,
기관 요구 공개 시 사전 서면 통지하고 보호명령 등 합리적 조치에 협력하며 최소 범위로 공개한다.,CompelledDisclosure,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,5,standard,ko,
법령상 요구가 있으면 전체 자료를 일괄 제출하며 통지는 생략한다.,CompelledDisclosure,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,1,"risky,no-notice",ko,
요청 또는 목적 달성 시 전 매체의 비밀정보를 반환·영구 파기하고 완료확인을 제공한다.,Return_Destruction,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,5,"standard,good",ko,
사본은 내부 기록 목적으로 영구 보관할 수 있다.,Return_Destruction,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,1,"risky,poison",ko,
"유효기간 2년, 종료 후 3년 존속(영업비밀은 법령 허용 범위 내 장기).",Term_Survival,,both,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,5,standard,ko,
비밀유지의무 존속기간은 30일로 제한된다.,Term_Survival,,both,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,1,"risky,too-short",ko,
본 계약은 어떠한 지식재산권의 실시권도 부여하지 않는다.,NoLicense,,both,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,5,"standard,boilerplate",ko,
본 계약은 묵시적으로 실시권을 부여하는 것으로 본다.,NoLicense,,both,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,2,"risky,overbroad",ko,
무단 사용·공개는 회복하기 어려운 손해를 초래할 수 있으며 법원이 허용하는 범위 내에서 금지명령 등 구제를 청구할 수 있다.,InjunctiveRelief,,discloser,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,4,balanced,ko,
공개자는 사전 다툼 없이 자동적으로 영구 금지명령을 부여받는다.,InjunctiveRelief,,discloser,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,2,"risky,one-sided",ko,
"배상책임 총한도는 최근 12개월 지급액, 간접손해 제외, 단 개인정보/고의·중과실/IP침해는 예외.",LimitationOfLiability,,both,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,5,"standard,good",ko,
수신자는 발생 가능한 모든 손해를 무제한 배상한다.,LimitationOfLiability,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,1,"risky,poison",ko,
"수신자는 위반으로 제3자가 제기하는 합리적 손해·청구에 대해 공개자를 면책하며, 방어권·통제권은 공개자가 보유한다.",Indemnity,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,4,balanced,ko,
수신자는 사유·인과관계 불문 모든 손해·비용을 면책한다.,Indemnity,,recipient,NDA,KR,article,,,LexGuard-Boost+,2025.10,True,1,"risky,open-ended",ko,
