contract_id,clause_id,original_identifier,article_number,paragraph_number,content,clause_type,contract_type,jurisdiction,language,issuer,version,source_uri,is_reference,text
NDA_REF_KR_2025_V1,definitions-001,제1조 제1항,1,1,"정의. 본 계약에서 '목적'은 당사자 간 논의·평가·검증 등을 의미하며, '자료'는 서면·구두·전자적 형식의 일체 정보를 포함한다.",definitions,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"정의. 본 계약에서 '목적'은 당사자 간 논의·평가·검증 등을 의미하며, '자료'는 서면·구두·전자적 형식의 일체 정보를 포함한다."
NDA_REF_KR_2025_V1,confidential_information_definition-002,제2조 제2항,2,2,"비밀정보의 정의. '비밀정보'란 공개되지 않은 기술·상업·재무·고객 정보 및 샘플·도면·코드 등 일체의 자료를 의미하며, 표시에 관계없이 그 성질상 비밀로 볼 수 있는 정보를 포함한다.",confidential_information_definition,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"비밀정보의 정의. '비밀정보'란 공개되지 않은 기술·상업·재무·고객 정보 및 샘플·도면·코드 등 일체의 자료를 의미하며, 표시에 관계없이 그 성질상 비밀로 볼 수 있는 정보를 포함한다."
NDA_REF_KR_2025_V1,purpose-003,제3조 제3항,3,3,목적. 수신자는 비밀정보를 오직 프로젝트 타당성 검토 및 협업 가능성 평가 목적에 한하여 사용한다.,purpose,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,목적. 수신자는 비밀정보를 오직 프로젝트 타당성 검토 및 협업 가능성 평가 목적에 한하여 사용한다.
NDA_REF_KR_2025_V1,non_disclosure-004,제4조 제4항,4,4,"비밀유지의무. 수신자는 비밀정보를 제3자에게 누설하여서는 아니 되며, 최소한 합리적인 주의의무 이상으로 이를 보호하여야 한다.",non_disclosure,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"비밀유지의무. 수신자는 비밀정보를 제3자에게 누설하여서는 아니 되며, 최소한 합리적인 주의의무 이상으로 이를 보호하여야 한다."
NDA_REF_KR_2025_V1,non_use-005,제5조 제1항,5,1,비사용의무. 수신자는 비밀정보를 본 계약에서 정한 목적 외의 용도로 사용하지 아니한다.,non_use,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,비사용의무. 수신자는 비밀정보를 본 계약에서 정한 목적 외의 용도로 사용하지 아니한다.
NDA_REF_KR_2025_V1,exclusions-006,제6조 제2항,6,2,"예외. 다음 각 호의 정보는 비밀정보에서 제외된다: (1) 공개 당시 이미 공지된 정보, (2) 수신자의 귀책사유 없이 공지에 이른 정보, (3) 적법하게 제3자로부터 취득한 정보, (4) 비밀정보를 사용하지 않고 독자적으로 개발한 정보.",exclusions,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"예외. 다음 각 호의 정보는 비밀정보에서 제외된다: (1) 공개 당시 이미 공지된 정보, (2) 수신자의 귀책사유 없이 공지에 이른 정보, (3) 적법하게 제3자로부터 취득한 정보, (4) 비밀정보를 사용하지 않고 독자적으로 개발한 정보."
NDA_REF_KR_2025_V1,permitted_disclosure-007,제7조 제3항,7,3,"허용되는 공개. 법령 또는 법원·정부기관의 요구에 의하여 공개가 필요한 경우, 가능한 범위에서 사전 서면 통지 후 최소 범위로 공개할 수 있다. 수신자의 임직원·자문사는 필요 최소한으로만 접근할 수 있으며 동일한 수준의 비밀유지의무를 부담한다.",permitted_disclosure,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"허용되는 공개. 법령 또는 법원·정부기관의 요구에 의하여 공개가 필요한 경우, 가능한 범위에서 사전 서면 통지 후 최소 범위로 공개할 수 있다. 수신자의 임직원·자문사는 필요 최소한으로만 접근할 수 있으며 동일한 수준의 비밀유지의무를 부담한다."
NDA_REF_KR_2025_V1,term-008,제8조 제4항,8,4,기간. 본 계약의 유효기간은 서명일로부터 3년으로 한다. 다만 비밀유지의무는 유효기간 만료 후에도 제20조(존속)에 따라 존속한다.,term,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,기간. 본 계약의 유효기간은 서명일로부터 3년으로 한다. 다만 비밀유지의무는 유효기간 만료 후에도 제20조(존속)에 따라 존속한다.
NDA_REF_KR_2025_V1,survival-009,제9조 제1항,9,1,"존속. 비밀유지, 비사용, 권리불포기, 준거법 및 분쟁해결 조항은 계약 종료 후에도 5년간 존속하며, 영업비밀에 해당하는 정보에 대해서는 그 비밀성이 유지되는 동안 존속한다.",survival,NDA,KR,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"존속. 비밀유지, 비사용, 권리불포기, 준거법 및 분쟁해결 조항은 계약 종료 후에도 5년간 존속하며, 영업비밀에 해당하는 정보에 대해서는 그 비밀성이 유지되는 동안 존속한다."
NDA_REF_KR_2025_V1,return_or_destruction-010,제10조 제2항,10,2,"반환·파기. 공개자의 요청 시 수신자는 비밀정보 및 복제물을 지체 없이 반환하거나 영구히 파기하고, 파기 사실을 서면으로 확인한다.",return_or_destruction,NDA,KR-Busan,ko,LexGuard-RefPack-NDA,2025-09-16,internal:lexguard/nda_ref_pack_v1,True,"반환·파기. 공개자의 요청 시 수신자는 비밀정보 및 복제물을 지체 없이 반환하거나 영구히 파기하고, 파기 사실을 서면으로 확인한다."
