text,category,subcategory,role_applicability,contract_type,jurisdiction,clause_type,identifier,title,source,version,is_reference,quality,tags,recommended_language,notes
Formal notices must be in writing and sent to the emails on the front page; parties may update the addresses in writing.,Notice,EmailNotice,both,NDA,US,article,§5 Notices,Notices,oneNDA v2.1,2025.08,True,5,"standard,good",,
Governing Law applies (excluding conflicts rules); disputes resolved by the chosen Dispute Resolution Method.,GoverningLaw_Jurisdiction,GLaw+DR,both,NDA,US,article,§5 Governing Law/Dispute Resolution,Governing law/DR,oneNDA v2.1,2025.08,True,5,"standard,good",,
No party can assign this Agreement without the other parties' consent.,Assignment,ConsentToAssign,both,NDA,US,article,§5 Assignment,Assignment,oneNDA v2.1,2025.08,True,5,"standard,good",,
"Receiver may disclose if required by law or regulation, but must promptly notify Discloser if allowed by law and cooperate in obtaining protective orders.",CompelledDisclosure,LegalDemand,recipient,NDA,US,article,§2,Compelled disclosure,oneNDA v2.1,2025.08,True,5,"standard,good",,
Receiver may disclose to Permitted Receivers on a need-to-know basis and only for the Purpose; Receiver remains liable for their breaches.,PermittedReceivers,NeedToKnow,recipient,NDA,US,article,§2,Sharing rules,oneNDA v2.1,2025.08,True,5,"standard,good",,Permitted Receivers & need-to-know; liability
The Discloser may seek injunctive relief or specific performance to enforce rights.,InjunctiveRelief,EquitableRelief,discloser,NDA,US,article,§5 Equitable relief,Equitable relief,oneNDA v2.1,2025.08,True,5,"standard,good",,
This Agreement supersedes prior discussions and constitutes the entire agreement; amendments must be in writing.,EntireAgreement_Amendment,Integration+WrittenAmend,both,NDA,US,article,§5 Entire agreement/Amendments,Entire/Amendments,oneNDA v2.1,2025.08,True,5,"standard,good",,
"Within 30 days of Discloser's request, Receiver will destroy or erase Confidential Information; archival/backups and legal-retention copies may be kept subject to confidentiality.",Term_ReturnDestruction,BackupsException,recipient,NDA,US,article,§3,Return/Deletion,oneNDA v2.1,2025.08,True,5,fallback,,Backup/legal retention exception
개인정보 처리 시 최소수집·가명처리·접근통제를 적용한다.,PersonalData,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"개인정보침해, 고의·중과실, 제3자 IP침해에 대해서는 한도 적용을 배제한다.",LimitationOfLiability,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"계약 종료 시 비밀정보를 반환 또는 파기하며, 파기 증명서를 제공한다.",Term_ReturnDestruction,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
계열사·자문사·하도급사에게는 need-to-know 원칙 하에 공유하며 동일한 비밀유지의무를 부과한다.,PermittedReceivers,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
공개 범위는 최소화하고 비밀표시를 유지한다.,CompelledDisclosure,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"구두 또는 관찰로 제공된 비밀은 즉시 고지하고, 제공일로부터 15일 이내 서면으로 비밀임을 통지한다.",Definition_ConfidentialInfo,Oral+15Days,both,NDA,KR,article,제3조,비밀의 표시,외부관계용 비밀유지서약(샘플),2025.08,True,5,"standard,good",,
